gen_model,N_per_order,recovery_rate,classified_M0,classified_M1,classified_M2
M0,50,0.9400,0.9400,0.0040,0.0560
M1,50,0.0225,0.8515,0.0225,0.1260
M2,50,0.9530,0.0000,0.0470,0.9530
M0,100,0.9380,0.9380,0.0025,0.0595
M1,100,0.0280,0.7565,0.0280,0.2155
M2,100,0.9475,0.0000,0.0525,0.9475
M0,200,0.9455,0.9455,0.0040,0.0505
M1,200,0.0655,0.5735,0.0655,0.3610
M2,200,0.9615,0.0000,0.0385,0.9615
M0,400,0.9580,0.9580,0.0050,0.0370
M1,400,0.1350,0.2735,0.1350,0.5915
M2,400,0.9540,0.0000,0.0460,0.9540
M0,800,0.9490,0.9490,0.0030,0.0480
M1,800,0.2670,0.0675,0.2670,0.6655
M2,800,0.9425,0.0000,0.0575,0.9425
M0,1600,0.9525,0.9525,0.0010,0.0465
M1,1600,0.4650,0.0005,0.4650,0.5345
M2,1600,0.9480,0.0000,0.0520,0.9480
M0,3200,0.9505,0.9505,0.0010,0.0485
M1,3200,0.7455,0.0000,0.7455,0.2545
M2,3200,0.9485,0.0000,0.0515,0.9485
M0,6400,0.9455,0.9455,0.0070,0.0475
M1,6400,0.9555,0.0000,0.9555,0.0445
M2,6400,0.9490,0.0000,0.0510,0.9490
M0,12800,0.9360,0.9360,0.0050,0.0590
M1,12800,0.9995,0.0000,0.9995,0.0005
M2,12800,0.9545,0.0000,0.0455,0.9545
